"","ID","nReads","VpJ","V","J","VJ","CDR3aa"
"0126-teff_R1.clones","0126-teff_R1.clones.txt",25874,331,42,51,272,331
"0126-treg_R1.clones","0126-treg_R1.clones.txt",103183,1573,43,51,847,1566
"0131-teff_R1.clones","0131-teff_R1.clones.txt",192203,1103,42,51,706,1102
"0131-treg_R1.clones","0131-treg_R1.clones.txt",22604,2440,45,52,1057,2434
"0341-teff_R1.clones","0341-teff_R1.clones.txt",124136,1526,43,51,843,1516
"0341-treg_R1.clones","0341-treg_R1.clones.txt",166630,1116,42,52,702,1114
"04b3-teff_R1.clones","04b3-teff_R1.clones.txt",752438,35340,47,54,1995,34093
"04b3-treg_R1.clones","04b3-treg_R1.clones.txt",4533,101,31,42,96,101
"082a-teff_R1.clones","082a-teff_R1.clones.txt",313196,5417,46,53,1505,5366
"082a-treg_R1.clones","082a-treg_R1.clones.txt",7103,3867,44,52,1224,3823
"0865-teff_R1.clones","0865-teff_R1.clones.txt",358048,9220,45,52,1638,9064
"0865-treg_R1.clones","0865-treg_R1.clones.txt",22967,956,42,50,634,954
"0935-teff_R1.clones","0935-teff_R1.clones.txt",85654,1944,44,51,982,1934
"0935-treg_R1.clones","0935-treg_R1.clones.txt",180387,4063,45,51,1400,4033
"0990-teff_R1.clones","0990-teff_R1.clones.txt",271750,38965,49,55,2018,37030
"0990-treg_R1.clones","0990-treg_R1.clones.txt",68911,2982,44,52,1238,2966
"09cf-teff_R1.clones","09cf-teff_R1.clones.txt",179958,10642,45,53,1777,10450
"09cf-treg_R1.clones","09cf-treg_R1.clones.txt",117046,2998,43,52,1193,2974
"0d40-teff_R1.clones","0d40-teff_R1.clones.txt",321377,52888,47,54,2068,49901
"0d60-treg_R1.clones","0d60-treg_R1.clones.txt",1088231,9723,46,53,1762,9539
"1250-teff_R1.clones","1250-teff_R1.clones.txt",4383,1092,43,51,685,1089
"1250-treg_R1.clones","1250-treg_R1.clones.txt",421,410,40,51,309,409
"1378-teff_R1.clones","1378-teff_R1.clones.txt",225040,8755,43,52,1696,8635
"1378-treg_R1.clones","1378-treg_R1.clones.txt",805053,70525,47,53,2090,66120
"14df-teff_R1.clones","14df-teff_R1.clones.txt",88725,347,42,51,276,347
"14df-treg_R1.clones","14df-treg_R1.clones.txt",58935,311,41,49,248,311
"1790-teff_R1.clones","1790-teff_R1.clones.txt",459477,14332,47,55,1864,13999
"1790-treg_R1.clones","1790-treg_R1.clones.txt",14538,192,39,48,177,191
"1cc2-teff_R1.clones","1cc2-teff_R1.clones.txt",99358,5408,43,53,1496,5359
"1cc2-treg_R1.clones","1cc2-treg_R1.clones.txt",875765,34625,47,54,1990,33101
"1d36-teff_R1.clones","1d36-teff_R1.clones.txt",603854,42166,49,54,2037,40264
"1d36-treg_R1.clones","1d36-treg_R1.clones.txt",564070,4302,46,52,1377,4269
"38b0-teff_R1.clones","38b0-teff_R1.clones.txt",317948,33940,47,54,1994,32577
"38b0-treg_R1.clones","38b0-treg_R1.clones.txt",296234,3103,43,52,1243,3081
"3a5c-teff_R1.clones","3a5c-teff_R1.clones.txt",14350,548,41,51,411,546
"3a5c-treg_R1.clones","3a5c-treg_R1.clones.txt",1400915,140165,50,55,2184,128502
"3f22-teff_R1.clones","3f22-teff_R1.clones.txt",183168,34973,48,54,2006,33516
"3f22-treg_R1.clones","3f22-treg_R1.clones.txt",868651,221076,51,56,2174,196832
"45d4-teff_R1.clones","45d4-teff_R1.clones.txt",582778,3829,44,52,1354,3798
"45d4-treg_R1.clones","45d4-treg_R1.clones.txt",187087,9867,44,55,1725,9721
"5cd9-teff_R1.clones","5cd9-teff_R1.clones.txt",320,276,37,49,238,275
"5cd9-treg_R1.clones","5cd9-treg_R1.clones.txt",116131,2839,44,52,1205,2820
"5ed7-teff_R1.clones","5ed7-teff_R1.clones.txt",528416,27591,47,54,1990,26587
"5ed7-treg_R1.clones","5ed7-treg_R1.clones.txt",31670,706,42,51,529,705
"6dd9-teff_R1.clones","6dd9-teff_R1.clones.txt",456222,4756,44,52,1475,4707
"6dd9-treg_R1.clones","6dd9-treg_R1.clones.txt",975521,141804,49,53,2141,129001
"71b1-teff_R1.clones","71b1-teff_R1.clones.txt",881,145,33,48,135,145
"71b1-treg_R1.clones","71b1-treg_R1.clones.txt",136050,458,42,50,357,458
"7d99-teff_R1.clones","7d99-teff_R1.clones.txt",406092,128400,50,55,2160,118200
"7d99-treg_R1.clones","7d99-treg_R1.clones.txt",3278,348,41,49,277,348
"7f1a-teff_R1.clones","7f1a-teff_R1.clones.txt",195679,16771,45,52,1893,16393
"7f1a-treg_R1.clones","7f1a-treg_R1.clones.txt",441273,14167,46,53,1847,13865
"82a5-teff_R1.clones","82a5-teff_R1.clones.txt",360790,84333,51,55,2130,78326
"82a5-treg_R1.clones","82a5-treg_R1.clones.txt",38126,436,42,51,351,435
"9c1a-teff_R1.clones","9c1a-teff_R1.clones.txt",1167398,212064,53,55,2224,190946
"9c1a-treg_R1.clones","9c1a-treg_R1.clones.txt",286468,1840,43,52,932,1830
"a15a-teff_R1.clones","a15a-teff_R1.clones.txt",212329,2395,44,51,1063,2385
"a15a-treg_R1.clones","a15a-treg_R1.clones.txt",2976,2026,45,52,987,2015
"a2c7-teff_R1.clones","a2c7-teff_R1.clones.txt",225304,8625,44,53,1654,8492
"a2c7-treg_R1.clones","a2c7-treg_R1.clones.txt",277152,7597,44,52,1625,7484
"b302-teff_R1.clones","b302-teff_R1.clones.txt",273484,1204,43,52,745,1200
"b302-treg_R1.clones","b302-treg_R1.clones.txt",1999,375,41,50,293,375
"b3ea-teff_R1.clones","b3ea-teff_R1.clones.txt",120746,12796,44,52,1837,12501
"b3ea-treg_R1.clones","b3ea-treg_R1.clones.txt",171336,31852,47,54,2020,30458
"b857-teff_R1.clones","b857-teff_R1.clones.txt",3753,1694,42,52,890,1686
"b857-treg_R1.clones","b857-treg_R1.clones.txt",766562,8035,46,52,1661,7909
"c44c-teff_R1.clones","c44c-teff_R1.clones.txt",623087,27474,44,54,1985,26528
"c44c-treg_R1.clones","c44c-treg_R1.clones.txt",4108,190,37,49,171,190
"c76d-teff_R1.clones","c76d-teff_R1.clones.txt",147419,16227,44,53,1853,15816
"c76d-treg_R1.clones","c76d-treg_R1.clones.txt",377838,4841,44,52,1457,4801
"cc82-teff_R1.clones","cc82-teff_R1.clones.txt",101,100,29,43,95,100
"cc82-treg_R1.clones","cc82-treg_R1.clones.txt",364732,40325,46,55,2034,38521
"d23c-teff_R1.clones","d23c-teff_R1.clones.txt",124097,425,41,50,341,424
"d23c-treg_R1.clones","d23c-treg_R1.clones.txt",1561164,130823,51,55,2141,121540
